Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Url
RBU43961,hoboken,2660,349000.0,house,residence,standard,3.0,135.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu43961
RBU44070,berchem,2600,499000.0,house,residence,standard,2.0,112.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu44070
RWC40920,berchem,2600,309000.0,house,residence,standard,3.0,118.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rwc40920
RBU45081,merksem,2170,444900.0,house,residence,standard,3.0,226.0,0,0,0,,64.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu45081
RBU45016,antwerp,2060,265000.0,house,residence,standard,6.0,139.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu45016
RBU45103,ekeren,2180,299000.0,house,residence,standard,5.0,178.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu45103
RBU45105,ekeren,2180,329000.0,house,residence,standard,3.0,162.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu45105
RBU45749,ekeren,2180,319000.0,house,residence,standard,3.0,120.0,0,0,0,,42.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu45749
RBU46263,hoboken,2660,328000.0,house,residence,standard,4.0,,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu46263
RBU45564,antwerp,2060,620000.0,house,residence,standard,8.0,323.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu45564
RBU46961,antwerp,2018,589000.0,house,residence,standard,3.0,140.0,0,0,0,,180.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu46961
RBU47788,antwerp,2060,269000.0,house,residence,standard,2.0,106.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu47788
RBU47048,ekeren,2180,299000.0,house,residence,standard,2.0,110.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu47048
RBU47791,antwerp,2060,248000.0,house,residence,standard,2.0,134.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu47791
RBU47182,antwerp,2000,1695000.0,house,residence,standard,5.0,425.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbu47182
RBU47949,ekeren,2180,299000.0,house,residence,standard,3.0,145.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu47949
RBU48355,merksem,2170,314000.0,house,residence,standard,2.0,125.0,0,0,0,,8.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu48355
RBU50779,deurne,2100,425000.0,house,residence,standard,3.0,200.0,0,0,0,,110.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu50779
RBU50855,antwerp,2020,299000.0,house,residence,standard,2.0,155.0,0,0,0,,26.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu50855
RWC41014,antwerp,2020,407000.0,house,residence,standard,2.0,135.0,0,0,0,,40.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rwc41014
