url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/9240/zele/rbu64863,9240,zele,RBU64863,459000,0,,,3,,1,1,1,1,2,Hot air,,,2,,,,7,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbu64869,9800,deinze,RBU64869,431115,,0,,4,0,1,1,1,2,2,Gas,0,,3,3,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9600/ronse/rbu64868,9600,ronse,RBU64868,299500,0,1,On contract,4,0,1,,,1,2,Gas,0,,3,2,,,288,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/7700/luingne/rbu64870,7700,luingne,RBU64870,120000,0,1,On contract,2,0,1,,,1,1,,0,,2,1,,,451,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4141/louveigne/vbd48477,4141,louveigne,VBD48477,530000,0,,On contract,6,1,,,,3,,Fuel oil,,,3,,,,384,"No, certificate does not comply",,,
https://immovlan.be/en/detail/residence/for-sale/8540/deerlijk/rbu64871,8540,deerlijk,RBU64871,379000,0,1,,3,0,1,1,1,1,2,Gas,0,,3,,,,86,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4140/sprimont/vbd48478,4140,sprimont,VBD48478,530000,0,,On contract,6,1,,,,3,,Fuel oil,,,3,,,,384,"No, certificate does not comply",,,
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd48482,1180,ukkel,VBD48482,785000,0,0,On contract,3,0,,1,1,2,2,Gas,0,,2,2,,,152,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/1495/sart-dames-avelines/vbd48487,1495,sart-dames-avelines,VBD48487,280000,0,,,4,0,1,,,1,1,Not specified,,,3,,,,402,,,,
https://immovlan.be/en/detail/residence/for-sale/9100/sint-niklaas/rbu64877,9100,sint-niklaas,RBU64877,289000,0,,,3,0,,,,1,,Gas,0,,,,,,195,,,no flooding area,
